"","-","C","d","D","e","E","F","g","G","a","A","b","B"
"-",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",325,3179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d",13,3,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",256,90,8,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e",39,8,0,6,325,NA,NA,NA,NA,NA,NA,NA,NA
"E",130,38,0,36,1,1078,NA,NA,NA,NA,NA,NA,NA
"F",309,21,2,29,12,27,1873,NA,NA,NA,NA,NA,NA
"g",0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA
"G",366,45,0,12,10,49,75,0,3140,NA,NA,NA,NA
"a",20,2,0,0,0,0,3,0,5,122,NA,NA,NA
"A",200,43,0,9,0,8,12,0,61,12,1248,NA,NA
"b",111,45,0,5,9,0,8,0,18,2,12,677,NA
"B",29,14,1,8,0,2,0,0,7,0,6,4,192
